training epochs,probe layer index,probe layer name,validation loss,validation accuracy
30,0,conv_layers.0,1.9845552598953247,28.72
30,1,conv_layers.1,1.7498746614456178,39.12
30,2,conv_layers.2,1.565530525970459,44.86
30,3,conv_layers.3,1.6567477321624755,42.75
30,4,conv_layers.4,1.4398151403427124,48.75
30,5,conv_layers.5,1.4098772115707396,53.56
30,6,conv_layers.6,1.1462388410568238,61.04
30,7,conv_layers.7,1.268228295326233,57.43
30,8,conv_layers.8,1.1493062198638917,59.92
30,9,conv_layers.9,1.0994421392440796,61.58
30,10,conv_layers.10,1.0318982711791993,64.42
30,11,conv_layers.11,0.8719462574005127,70.22
30,12,conv_layers.12,0.8339410331726074,71.54
30,13,fc_layers.0,1.1900343099594117,77.94
30,14,fc_layers.1,1.0521782841682434,80.31
30,15,fc_layers.2,1.3176209272384642,80.27
30,16,fc_layers.3,1.2463083587646484,80.33
30,17,fc_layers.4,2.2104881855010987,80.31
0,0,conv_layers.0,2.025481408691406,26.42
0,1,conv_layers.1,2.004193476676941,29.04
0,2,conv_layers.2,1.8832149257659911,34.08
0,3,conv_layers.3,1.9798755069732665,31.63
0,4,conv_layers.4,2.010970828819275,30.35
0,5,conv_layers.5,2.0981642288208007,27.93
0,6,conv_layers.6,2.021749168395996,30.81
0,7,conv_layers.7,2.1154984619140627,27.33
0,8,conv_layers.8,2.18415803565979,24.95
0,9,conv_layers.9,2.260044681930542,23.47
0,10,conv_layers.10,2.2932265602111817,18.47
0,11,conv_layers.11,2.2990888523101805,16.68
0,12,conv_layers.12,2.2950836948394775,19.85
0,13,fc_layers.0,2.285169696044922,25.9
0,14,fc_layers.1,2.2954379203796385,21.03
0,15,fc_layers.2,2.3001743961334227,13.85
0,16,fc_layers.3,2.3013883960723875,11.1
0,17,fc_layers.4,2.3026304916381837,10.0
4,0,conv_layers.0,2.012224935913086,27.21
4,1,conv_layers.1,1.84928000164032,35.37
4,2,conv_layers.2,1.6505793882369995,42.04
4,3,conv_layers.3,1.7588548664093018,38.95
4,4,conv_layers.4,1.5386600257873535,44.55
4,5,conv_layers.5,1.5617625070571899,46.59
4,6,conv_layers.6,1.3775588020324707,51.17
4,7,conv_layers.7,1.4867420850753785,49.07
4,8,conv_layers.8,1.3779645263671876,50.28
4,9,conv_layers.9,1.354484945678711,50.74
4,10,conv_layers.10,1.323221138381958,52.01
4,11,conv_layers.11,1.2686152948379517,55.31
4,12,conv_layers.12,1.1808992076873779,58.61
4,13,fc_layers.0,0.9530368885040283,66.99
4,14,fc_layers.1,0.9346961599349976,67.44
4,15,fc_layers.2,0.9518821977615356,66.9
4,16,fc_layers.3,0.9546666147232056,66.72
