training epochs,probe layer index,probe layer name,validation loss,validation accuracy
0,0,conv_layers.0,2.024326553153992,26.76
0,1,conv_layers.1,2.008630813407898,28.28
0,2,conv_layers.2,1.8991061721801759,33.31
0,3,conv_layers.3,1.9895056121826171,30.36
0,4,conv_layers.4,2.0201177862167357,30.35
0,5,conv_layers.5,2.1116732719421387,27.73
0,6,conv_layers.6,2.0258044654846192,31.41
0,7,conv_layers.7,2.1318135089874266,27.19
0,8,fc_layers.0,1.9441805015563964,36.47
0,9,fc_layers.1,2.0894588871002195,34.64
0,10,fc_layers.2,2.2577415031433103,32.77
0,11,fc_layers.3,2.282759949874878,28.09
0,12,fc_layers.4,2.301949800491333,10.0
1,0,conv_layers.0,2.023604080200195,26.47
1,1,conv_layers.1,2.00911542263031,28.46
1,2,conv_layers.2,1.9024730665206908,33.19
1,3,conv_layers.3,1.9893070960998536,30.81
1,4,conv_layers.4,2.022426012611389,30.49
1,5,conv_layers.5,2.144334789657593,27.32
1,6,conv_layers.6,2.0430375022888185,31.16
1,7,conv_layers.7,2.1507441787719728,28.44
1,8,fc_layers.0,1.9672181827545165,35.52
1,9,fc_layers.1,2.134664598464966,33.24
1,10,fc_layers.2,2.2653089042663574,30.84
1,11,fc_layers.3,2.2871149353027342,28.39
1,12,fc_layers.4,2.3012819862365723,10.29
2,0,conv_layers.0,2.0226411859512328,26.39
2,1,conv_layers.1,2.00850707321167,28.7
2,2,conv_layers.2,1.9019810731887818,34.07
2,3,conv_layers.3,1.9885511447906494,30.18
2,4,conv_layers.4,2.0194004913330077,30.39
2,5,conv_layers.5,2.1469291233062746,26.93
2,6,conv_layers.6,2.0445307615280153,31.26
2,7,conv_layers.7,2.149331973648071,26.02
2,8,fc_layers.0,1.95561135597229,35.53
2,9,fc_layers.1,2.104437261581421,33.09
2,10,fc_layers.2,2.2479061599731445,30.45
2,11,fc_layers.3,2.276567427444458,23.66
2,12,fc_layers.4,2.301650737762451,9.23
3,0,conv_layers.0,2.023290403366089,26.54
3,1,conv_layers.1,2.007610831832886,28.77
3,2,conv_layers.2,1.9017621391296387,33.04
3,3,conv_layers.3,1.988632575416565,30.19
3,4,conv_layers.4,2.016834468269348,30.22
3,5,conv_layers.5,2.1418715438842773,26.71
3,6,conv_layers.6,2.0354881530761717,31.7
3,7,conv_layers.7,2.139718468475342,27.67
3,8,fc_layers.0,1.9285784761428832,35.44
3,9,fc_layers.1,2.058153695487976,32.43
3,10,fc_layers.2,2.2250937843322753,29.18
3,11,fc_layers.3,2.2620285408020018,27.98
3,12,fc_layers.4,2.29919103012085,17.59
100,0,conv_layers.0,1.9846,28.00
100,1,conv_layers.1,1.7680,35.39
100,2,conv_layers.2,1.6741,39.80
100,3,conv_layers.3,1.7303,37.49
100,4,conv_layers.4,1.6102,41.41
100,5,conv_layers.5,1.5589,44.90
100,6,conv_layers.6,1.5279,45.50
100,7,conv_layers.7,1.5306,45.54
100,8,fc_layers.0,1.5738,49.29
100,9,fc_layers.1,1.5188,47.65
100,10,fc_layers.2,1.5950,44.19
100,11,fc_layers.3,1.6502,41.95
100,12,fc_layers.4,2.3055,12.49
50,0,conv_layers.0,1.9882,27.26
50,1,conv_layers.1,1.8102,33.80
50,2,conv_layers.2,1.6906,38.96
50,3,conv_layers.3,1.7730,36.12
50,4,conv_layers.4,1.6369,41.32
50,5,conv_layers.5,1.6845,40.91
50,6,conv_layers.6,1.5431,44.80
50,7,conv_layers.7,1.6173,42.78
50,8,fc_layers.0,1.3361,53.19
50,9,fc_layers.1,1.4143,50.25
50,10,fc_layers.2,1.5755,44.67
50,11,fc_layers.3,1.6147,43.36
50,12,fc_layers.4,2.2704,14.95
25,0,conv_layers.0,1.9963,27.32
25,1,conv_layers.1,1.9364,30.66
25,2,conv_layers.2,1.8092,35.93
25,3,conv_layers.3,1.9052,33.38
25,4,conv_layers.4,1.8522,33.53
25,5,conv_layers.5,1.8862,33.70
25,6,conv_layers.6,1.7429,38.11
25,7,conv_layers.7,1.8472,34.97
25,8,fc_layers.0,1.5420,46.01
25,9,fc_layers.1,1.6082,44.20
25,10,fc_layers.2,1.7970,37.07
25,11,fc_layers.3,1.8558,35.39
25,12,fc_layers.4,2.2341,18.17
12,0,conv_layers.0,2.0145,26.96
12,1,conv_layers.1,1.9955,28.72
12,2,conv_layers.2,1.8806,33.81
12,3,conv_layers.3,1.9707,31.25
12,4,conv_layers.4,1.9608,30.82
12,5,conv_layers.5,2.0405,29.89
12,6,conv_layers.6,1.9164,33.36
12,7,conv_layers.7,2.0300,31.03
12,8,fc_layers.0,1.7465,39.53
12,9,fc_layers.1,1.8261,36.43
12,10,fc_layers.2,1.9929,31.39
12,11,fc_layers.3,2.0590,30.04
12,12,fc_layers.4,2.2396,23.15
6,0,conv_layers.0,2.0208,26.56
6,1,conv_layers.1,2.0057,28.92
6,2,conv_layers.2,1.8962,33.64
6,3,conv_layers.3,1.9868,31.20
6,4,conv_layers.4,2.0024,30.71
6,5,conv_layers.5,2.0991,28.23
6,6,conv_layers.6,1.9994,31.42
6,7,conv_layers.7,2.1029,28.82
6,8,fc_layers.0,1.8538,35.92
6,9,fc_layers.1,1.9394,33.61
6,10,fc_layers.2,2.1155,29.78
6,11,fc_layers.3,2.1782,27.91
6,12,fc_layers.4,2.2837,21.25
75,0,conv_layers.0,1.9859560804367065,27.6
75,1,conv_layers.1,1.769867788696289,35.1
75,2,conv_layers.2,1.6759870107650756,39.27
75,3,conv_layers.3,1.7259585920333862,37.21
75,4,conv_layers.4,1.635094103050232,40.59
75,5,conv_layers.5,1.5861264501571655,43.48
75,6,conv_layers.6,1.5205948062896728,46.18
75,7,conv_layers.7,1.541249973487854,45.45
75,8,fc_layers.0,1.4449490368843079,50.55
75,9,fc_layers.1,1.5415536828994751,47.06
75,10,fc_layers.2,1.5718070379257203,45.01
75,11,fc_layers.3,1.6123811960220338,42.8
75,12,fc_layers.4,2.2914377292633055,12.82
18,0,conv_layers.0,2.0051661708831787,26.84
18,1,conv_layers.1,1.9517321729660033,29.87
18,2,conv_layers.2,1.8387353178024293,35.52
18,3,conv_layers.3,1.9320500204086304,31.87
18,4,conv_layers.4,1.9151208892822265,31.81
18,5,conv_layers.5,1.9718363723754884,31.25
18,6,conv_layers.6,1.8554281455993653,35.02
18,7,conv_layers.7,1.9571347721099854,32.14
18,8,fc_layers.0,1.6691835893630982,42.22
18,9,fc_layers.1,1.7188857641220092,40.41
18,10,fc_layers.2,1.8974917245864868,33.33
18,11,fc_layers.3,1.9664545755386353,31.65
18,12,fc_layers.4,2.221795087432861,21.73
37,0,conv_layers.0,1.9902069625854493,27.42
37,1,conv_layers.1,1.8467297286987305,32.68
37,2,conv_layers.2,1.7380872785568238,37.56
37,3,conv_layers.3,1.81375667552948,35.32
37,4,conv_layers.4,1.7374657766342163,37.44
37,5,conv_layers.5,1.790561145401001,37.28
37,6,conv_layers.6,1.64406865234375,41.53
37,7,conv_layers.7,1.7369243844985962,38.54
37,8,fc_layers.0,1.4160152545928955,50.81
