training epochs,probe layer index,probe layer name,validation loss,validation accuracy
0,0,conv_layers.0,2.019178793334961,26.51
0,1,conv_layers.1,2.0080055494308473,27.53
0,2,conv_layers.2,1.9014877014160156,33.54
0,3,conv_layers.3,1.9294507713317872,31.99
0,4,conv_layers.4,1.9925292106628418,30.62
0,5,conv_layers.5,1.9189232681274415,32.82
0,6,fc_layers.0,1.6650350030899048,43.54
0,7,fc_layers.1,1.7812281070709228,39.08
0,8,fc_layers.2,2.0249993606567385,33.05
0,9,fc_layers.3,2.1390989612579348,30.86
0,10,fc_layers.4,2.300146259307861,14.55
3,0,conv_layers.0,2.01959940032959,26.86
3,1,conv_layers.1,2.0063315341949464,27.8
3,2,conv_layers.2,1.9003335624694824,33.85
3,3,conv_layers.3,1.9293772562026978,31.34
3,4,conv_layers.4,2.0888523597717286,28.36
3,5,conv_layers.5,1.9756149293899536,31.47
3,6,fc_layers.0,1.7192728092193603,41.13
3,7,fc_layers.1,1.862487290763855,34.9
3,8,fc_layers.2,2.0056818620681764,30.82
3,9,fc_layers.3,2.0951728591918943,28.37
3,10,fc_layers.4,2.272211016845703,22.55
6,0,conv_layers.0,2.015717265701294,26.66
6,1,conv_layers.1,1.998457765197754,27.67
6,2,conv_layers.2,1.8890676200866698,33.83
6,3,conv_layers.3,1.9038789932250977,31.93
6,4,conv_layers.4,2.0630684410095217,29.52
6,5,conv_layers.5,1.9106045772552491,33.41
6,6,fc_layers.0,1.6434745149612426,43.47
6,7,fc_layers.1,1.7653667819976806,38.77
6,8,fc_layers.2,1.934749831199646,32.37
6,9,fc_layers.3,2.0243703533172606,30.13
6,10,fc_layers.4,2.2567405376434326,22.12
12,0,conv_layers.0,2.0024317222595216,27.09
12,1,conv_layers.1,1.952090853691101,29.71
12,2,conv_layers.2,1.8285339952468873,35.79
12,3,conv_layers.3,1.8026557945251465,35.58
12,4,conv_layers.4,1.9624806140899658,33.26
12,5,conv_layers.5,1.7554529560089112,37.58
12,6,fc_layers.0,1.4737139711380005,48.44
12,7,fc_layers.1,1.5768511413574218,45.13
12,8,fc_layers.2,1.7648891403198241,38.55
12,9,fc_layers.3,1.8475348644256593,35.73
12,10,fc_layers.4,2.176377850341797,21.58
18,0,conv_layers.0,1.9925690479278564,27.3
18,1,conv_layers.1,1.8826236461639405,31.81
18,2,conv_layers.2,1.7542892608642577,37.63
18,3,conv_layers.3,1.6716819110870362,40.3
18,4,conv_layers.4,1.8686641622543334,36.39
18,5,conv_layers.5,1.6311074836730957,42.32
18,6,fc_layers.0,1.3649841495513917,52.12
18,7,fc_layers.1,1.472939771461487,48.47
18,8,fc_layers.2,1.6576549657821655,41.98
18,9,fc_layers.3,1.740312973213196,39.16
18,10,fc_layers.4,2.2025462310791015,19.0
25,0,conv_layers.0,1.986338836669922,27.3
25,1,conv_layers.1,1.809302914428711,34.81
25,2,conv_layers.2,1.6878666765213013,39.97
25,3,conv_layers.3,1.7476143535614013,35.91
25,4,conv_layers.4,1.7683469528198241,39.44
25,5,conv_layers.5,1.535342866897583,45.89
25,6,fc_layers.0,1.4223755073547364,51.84
25,7,fc_layers.1,1.4861243112564086,47.12
25,8,fc_layers.2,1.6195015079498292,43.35
25,9,fc_layers.3,1.7008246404647827,40.24
25,10,fc_layers.4,2.2218444793701173,17.49
37,0,conv_layers.0,1.9830143520355226,28.23
37,1,conv_layers.1,1.7670374547958374,35.93
37,2,conv_layers.2,1.6573714046478272,40.95
37,3,conv_layers.3,7.00806474609375,14.89
37,4,conv_layers.4,1.6530672176361083,42.3
37,5,conv_layers.5,1.5020677640914917,46.93
37,6,fc_layers.0,1.9362384044647216,47.28
37,7,fc_layers.1,1.5743131252288818,45.54
37,8,fc_layers.2,1.6737742725372315,40.85
37,9,fc_layers.3,1.7419395795822143,38.76
37,10,fc_layers.4,2.2775837577819824,13.97
50,0,conv_layers.0,1.9824854820251465,27.81
50,1,conv_layers.1,1.76793429145813,35.61
50,2,conv_layers.2,1.6550543886184692,40.65
50,3,conv_layers.3,5.420212207794189,26.3
50,4,conv_layers.4,1.633497573852539,42.85
50,5,conv_layers.5,1.498819441986084,46.94
50,6,fc_layers.0,2.078554923248291,45.89
50,7,fc_layers.1,1.5998768016815186,44.89
50,8,fc_layers.2,1.6682854339599609,41.53
50,9,fc_layers.3,1.7443603923797608,38.5
50,10,fc_layers.4,2.2853390155792237,14.05
